Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:34:56, 18.20, 67.00, 80, 19.47, 0.00, 0.00
04/12/2024, 00:35:02, 18.20, 67.00, 80, 19.47, 0.00, 0.00
04/12/2024, 00:35:08, 18.20, 67.00, 80, 19.47, 0.00, 0.00
04/12/2024, 00:35:15, 18.20, 67.00, 80, 19.45, 0.00, 0.00
04/12/2024, 00:35:21, 18.20, 67.00, 80, 19.51, 0.00, 0.00
04/12/2024, 00:35:34, 18.20, 67.00, 80, 19.51, 0.00, 0.00
04/12/2024, 00:35:40, 18.20, 67.00, 80, 19.55, 0.00, 0.00
04/12/2024, 00:35:46, 18.20, 67.00, 80, 19.51, 0.00, 0.00
04/12/2024, 00:35:53, 18.20, 67.00, 80, 19.55, 0.00, 0.00
04/12/2024, 00:35:59, 18.20, 66.00, 80, 19.55, 0.00, 0.00
04/12/2024, 00:36:05, 18.20, 66.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:36:12, 18.20, 66.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:36:18, 18.20, 66.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:36:24, 18.20, 66.00, 80, 19.55, 0.00, 0.00
04/12/2024, 00:36:31, 18.30, 66.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:36:37, 18.60, 66.00, 80, 19.51, 0.00, 0.00
04/12/2024, 00:36:44, 18.60, 66.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:36:50, 18.60, 66.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:36:56, 18.60, 66.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:37:03, 18.60, 66.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:37:09, 18.60, 66.00, 80, 19.61, 0.00, 0.00
04/12/2024, 00:37:15, 18.60, 66.00, 80, 19.61, 0.00, 0.00
04/12/2024, 00:37:22, 18.60, 65.00, 80, 19.71, 0.00, 0.00
04/12/2024, 00:37:28, 18.60, 65.00, 80, 19.57, 0.00, 0.00
04/12/2024, 00:37:41, 18.60, 65.00, 80, 19.61, 0.00, 0.00
04/12/2024, 00:37:47, 18.60, 65.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:37:53, 18.60, 65.00, 80, 19.71, 0.00, 0.00
04/12/2024, 00:38:00, 18.60, 65.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:38:06, 18.60, 65.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:38:12, 18.60, 65.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:38:19, 18.60, 65.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:38:25, 18.70, 65.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:38:31, 18.70, 65.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:38:44, 19.00, 65.00, 80, 19.71, 0.00, 0.00
04/12/2024, 00:38:50, 19.00, 65.00, 80, 19.71, 0.00, 0.00
04/12/2024, 00:38:57, 19.00, 65.00, 80, 19.67, 0.00, 0.00
04/12/2024, 00:39:03, 19.00, 65.00, 80, 19.63, 0.00, 0.00
04/12/2024, 00:39:09, 19.00, 65.00, 80, 19.73, 0.00, 0.00
